log_id,file,cts_bin_f,samples,rpm_avg,iac_avg_pct,map_avg_kpa,afr_avg,target_afr_avg,coolant_enr_avg_pct,afterstart_enr_avg_pct
1,001-initial-cold-start-dies.csv,80-100,1015,788.0,100.0,79.8,15.99,12.57,112.7,118.6
2,002-header-gasket-cl-off-idle-screw-1turn.csv,80-100,4747,1101.0,83.1,77.6,14.97,12.78,110.8,103.3
2,002-header-gasket-cl-off-idle-screw-1turn.csv,100-120,1063,1085.0,54.9,77.5,14.19,12.85,109.8,100.0
3,003-cl-off-full-warmup-tps-reset.csv,100-120,1512,1178.0,16.0,74.9,14.57,13.15,106.3,104.8
3,003-cl-off-full-warmup-tps-reset.csv,120-130,7713,1095.0,0.0,75.8,13.86,13.24,105.3,100.0
3,003-cl-off-full-warmup-tps-reset.csv,130-140,1887,1122.0,0.0,75.6,13.39,13.37,104.1,100.0
3,003-cl-off-full-warmup-tps-reset.csv,140-150,329,1121.0,0.0,75.6,13.4,13.5,102.2,100.0
3,003-cl-off-full-warmup-tps-reset.csv,150-160,325,1134.0,0.0,75.5,13.39,13.5,100.7,100.0
3,003-cl-off-full-warmup-tps-reset.csv,160-180,1171,1137.0,0.0,75.5,13.38,13.5,100.0,100.0
3,003-cl-off-full-warmup-tps-reset.csv,180-210,5513,1139.0,0.0,75.6,13.03,13.5,100.0,100.0
3,003-cl-off-full-warmup-tps-reset.csv,210-230,850,1139.0,0.0,75.8,12.86,13.5,100.0,100.0
4,004-iac-tuning-idle-screw-adjusted-hot-flare.csv,180-210,6041,1278.0,3.0,71.9,13.6,13.52,100.0,100.3
5,005-hot-start-iac-35pct-short-cool-log.csv,120-130,960,1021.0,100.0,77.2,18.72,13.25,105.3,105.9
6,006-full-warmup-hot-restart-after-iac-startup.csv,120-130,6525,1022.0,80.5,77.2,15.82,13.27,105.1,100.9
6,006-full-warmup-hot-restart-after-iac-startup.csv,130-140,4134,1010.0,56.0,76.9,14.25,13.42,103.7,100.0
6,006-full-warmup-hot-restart-after-iac-startup.csv,140-150,3536,1010.0,45.8,76.5,13.8,13.5,102.4,100.0
6,006-full-warmup-hot-restart-after-iac-startup.csv,150-160,2281,1025.0,31.3,75.7,13.61,13.5,100.7,100.0
6,006-full-warmup-hot-restart-after-iac-startup.csv,160-180,1972,1015.0,20.9,75.4,13.45,13.5,100.0,100.0
6,006-full-warmup-hot-restart-after-iac-startup.csv,180-210,3049,1012.0,23.4,75.6,13.34,13.5,100.0,100.6
